"event","trial","time"
"blur","0","8416"
"focus","0","10830"
"blur","0","12769"
"focus","0","16791"
"blur","0","52462"
"focus","0","78922"
"blur","1","124846"
"focus","1","150097"
"blur","1","164616"
"focus","1","165714"
"blur","1","179634"
"focus","1","186415"
"blur","2","253971"
"focus","2","278454"
"blur","3","301196"
"focus","3","307405"
"blur","4","341534"
"focus","4","346780"
"blur","5","361750"
"focus","5","366114"
"blur","6","381651"
"focus","6","467368"
"blur","7","482047"
"focus","7","494696"
